Okres;mleko;krowy
1996_1;1216100;10706,00
1996_2;1706900;10497,00
1996_3;1967500;10339,00
1996_4;1424400;10323,00
1997_1;1308300;10512,00
1997_2;1874800;10515,00
1997_3;2052500;10492,00
1997_4;1534600;10493,00
1998_1;1418400;10534,00
1998_2;1982100;10610,67
1998_3;2104600;10555,00
1998_4;1505900;10436,67
1999_1;1325900;10359,00
1999_2;1784200;10269,00
1999_3;1843400;10130,00
1999_4;1370900;9928,33
2000_1;1310500;9690,00
2000_2;1737200;9360,00
2000_3;1904300;9243,00
2000_4;1534700;9158,00
2001_1;1440000;9099,00
2001_2;1900300;9029,00
2001_3;1932400;9001,00
2001_4;1559200;8977,67
2002_1;1499200;2991,00
2002_2;1945600;2991,00
2002_3;1973700;2991,00
2002_4;1578800;2991,00
2003_1;1586000;2963,00
2003_2;1947000;2963,00
2003_3;1970000;2963,00
2003_4;1647300;2963,00
